Timestamp,Humidity,Temperature,Soil Moisture,MQ135 Value
2024-07-21 10:16:01.249485,59.914727847114904,30.87474461779981,2135,1004
2024-07-21 10:31:01.249485,58.967941849867564,30.84233715822043,2294,1025
2024-07-21 10:44:01.249485,59.483566108543634,30.815878850780297,1315,1024
2024-07-21 10:57:01.249485,59.85296605183511,30.820194213897537,2285,1002
2024-07-21 11:12:01.249485,58.71977945668389,30.884078328102024,1516,1044
2024-07-21 11:28:01.249485,58.712877041407886,30.834552711912277,2216,1045
2024-07-21 11:42:01.249485,58.828871490252915,30.841321398617396,1873,1033
2024-07-21 11:57:01.249485,58.59110787420419,30.89149431399748,1775,1023
2024-07-21 12:10:01.249485,59.98549729037244,30.87651941321546,1657,1049
2024-07-21 12:26:01.249485,58.593879199006,30.807827454289722,1327,1036
2024-07-21 12:40:01.249485,59.05848432430838,30.857078919833516,1433,1044
2024-07-21 12:56:01.249485,58.79814981713175,30.813037822915984,1367,1041
2024-07-21 13:09:01.249485,59.7791935360932,30.893341299751537,1706,1046
2024-07-21 13:24:01.249485,58.63855705006559,30.83083360485131,1307,1026
2024-07-21 13:40:01.249485,59.225958975172915,30.812124741398307,2390,1039
2024-07-21 13:56:01.249485,58.74256250412283,30.822338719118047,2498,1026
2024-07-21 14:09:01.249485,58.88354580119608,30.83553741939443,1330,1011
2024-07-21 14:25:01.249485,59.606685579442136,30.856241515922665,1696,1005
2024-07-21 14:39:01.249485,59.51656728972379,30.882240128098147,1428,1040
2024-07-21 14:52:01.249485,59.381746365171615,30.842925531371595,2125,1033
2024-07-21 15:08:01.249485,59.57865691236183,30.812665635548274,2137,1049
2024-07-21 15:24:01.249485,59.18267815818954,30.826697648991708,1381,1001
2024-07-21 15:38:01.249485,59.70960544601583,30.841774229299173,2251,1044
2024-07-21 15:53:01.249485,59.378352507408366,30.852054366522708,1762,1041
2024-07-21 16:07:01.249485,59.38224705597327,30.88544537786722,2049,1012
2024-07-21 16:21:01.249485,59.8903449568124,30.85685484055818,2471,1014
2024-07-21 16:35:01.249485,59.02437639806714,30.80700989295449,2454,1010
2024-07-21 16:48:01.249485,59.918030127708526,30.826928474977493,1636,1007
2024-07-21 17:04:01.249485,58.68797292198878,30.854163838623805,1919,1008
2024-07-21 17:18:01.249485,59.739672208039096,30.84848273254223,1693,1033
2024-07-21 17:32:01.249485,59.504693789076455,30.807147813499732,2602,1026
2024-07-21 17:47:01.249485,58.5127996843402,30.820074391627628,1958,1038
2024-07-21 18:03:01.249485,59.150043539727704,30.813398472564206,1385,1012
2024-07-21 18:17:01.249485,58.65186508557293,30.824342952485644,2632,1030
2024-07-21 18:30:01.249485,58.97258730976311,30.818217112378736,2192,1031
2024-07-21 18:46:01.249485,58.9705005687022,30.810079207987812,2479,1049
2024-07-21 18:59:01.249485,59.48051255790558,30.87761065890223,1819,1015
2024-07-21 19:15:01.249485,59.06979697807803,30.8965667112602,2577,1023
2024-07-21 19:29:01.249485,59.398350595703285,30.841778552436377,1548,1010
